FileName,Result,TimeElapsed
aws_hash_table_init_bounded_harness_reach_Query184.smt2,TIMEOUT,60.026
bAnd2_reach_Query201.smt2,TIMEOUT,60.070
cstrlen_diffterm_alloca_termination_Query404.smt2,SAT,8.073
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_termination_Query88.smt2,SAT,.061
minepump_spec5_product38.cil_reach_Query202.smt2,SAT,5.035
phases_2-2_termination_Query233.smt2,SAT,16.337
Problem14_label10_termination_Query5.smt2,SAT,2.327
trex02-1_reach_Query57.smt2,UNSAT,.032
up_reach_Query33.smt2,UNSAT,.049
while_infinite_loop_3_reach_Query1047.smt2,SAT,.015
